optical_r,optical_g,optical_b,conductivity_mv,purity
164,177,191,277,64.82410862512809
145,207,177,144,80.42740664642241
169,108,151,118,81.1379003950002
195,166,130,199,74.51019235180479
142,130,170,182,69.93192666523106
142,135,161,154,83.96646853686468
197,132,176,269,68.55602737681112
173,124,169,295,63.01455684465904
135,151,181,208,80.14622834216203
166,125,133,347,67.08785068813279
136,158,189,85,80.41220067815512
136,148,155,180,77.13637610716893
157,142,212,128,79.50428825106351
92,122,129,13,88.65048449445567
98,132,202,191,78.94737420965875
133,172,155,187,78.13086930613599
119,165,130,351,60.27742579344695
159,120,135,263,60.98068817796623
122,152,140,97,91.47709015104613
107,172,162,385,51.45370802573264
193,99,165,322,62.64966315133164
143,166,132,258,73.53688468979097
152,130,149,177,87.95329297919326
107,167,214,104,76.85589800440444
133,127,201,162,64.15243922089587
153,95,163,308,66.56924772376847
115,101,151,388,65.95255590755426
161,151,153,354,70.04473176469719
131,157,168,151,83.74829707637313
141,122,119,88,85.34181907183977
131,169,142,214,80.33561298318654
205,100,99,23,85.03226900147766
149,148,161,232,78.4817888467811
118,113,169,185,79.62735079583314
174,130,135,153,87.05104953749439
113,151,197,40,100.0
156,124,113,251,73.41207983589385
91,138,106,146,77.1051818714625
110,180,156,83,87.77212843904003
155,132,181,0,88.4546204755544
172,175,200,197,71.97643434455472
155,116,136,377,57.60358780943447
146,165,182,366,58.22955801032703
140,193,148,154,82.61177436016861
105,75,144,139,75.687900338089
128,126,176,246,77.40515333662236
136,167,169,100,87.50103532459099
181,143,102,230,72.65349839430687
160,161,194,276,67.51052641743541
97,131,191,322,62.925953419294885
159,152,131,189,83.72549132333816
138,145,161,179,76.3643489214455
129,185,164,112,82.00941755462371
168,157,157,117,85.18136985611667
180,160,133,177,72.72064538263393
177,137,129,236,69.25371070139252
124,135,149,291,66.41889563227672
140,137,185,119,89.57194590356363
159,161,166,349,64.61280664500963
179,137,138,172,81.06794955683772
135,158,173,197,82.25448981083984
144,212,64,125,79.11314105800302
116,176,184,0,97.25232424964445
114,140,97,288,65.73389123533752
174,186,139,273,70.47681174699815
190,137,116,171,75.63620671194208
147,88,111,206,62.00591420861786
180,119,184,251,69.47860418906849
160,93,135,43,98.71374068049971
130,139,160,147,87.88107701120796
160,150,148,279,76.32698742295585
196,200,164,74,93.28065360903108
148,159,152,229,76.89328795480719
196,143,111,64,89.98657853702798
71,174,179,246,65.71174052282825
174,83,135,196,73.51963571986477
152,157,103,38,96.47885574885572
141,173,137,316,72.16942218584407
152,105,195,126,82.10276862159502
90,184,175,118,79.99905367574294
143,160,139,220,76.602639794283
160,137,139,314,69.90603374464557
194,168,140,98,79.38072591933229
134,218,212,206,60.61909523431382
125,155,161,242,70.99731575254208
134,157,162,269,65.24643787042922
177,136,180,217,72.20929901176345
159,124,157,163,80.86109840591266
134,174,142,117,83.63375795488493
165,124,144,208,84.11233767235373
152,152,147,92,92.08372382301161
179,135,148,0,99.20237179805414
128,164,171,243,75.96103572021701
140,160,151,290,64.25583441109616
138,181,171,0,100.0
106,134,147,99,86.57117856732269
158,141,152,261,76.30240308620607
157,120,90,405,49.29071383479922
150,136,177,202,69.98120616991967
142,161,160,127,89.93944829012514
107,172,179,181,79.08204763048758
137,122,63,337,55.389742228212434
139,176,212,135,77.20168459362654
125,190,145,120,90.12717392207385
145,162,183,151,76.45294053566337
162,206,118,104,92.81336476627982
206,126,168,212,69.39689632676065
155,112,118,362,63.24195962804191
157,96,131,232,71.15690762125507
147,194,207,174,80.41593715541171
92,169,144,170,76.12942998942903
149,148,156,43,94.43603546963854
151,158,176,288,69.6545958769786
223,116,164,192,69.73906272109262
144,223,154,181,81.45412172710063
159,153,160,519,44.43393216764207
148,153,222,229,72.10700042329991
114,171,148,124,79.67825312695744
184,164,156,157,68.78833170602344
172,156,181,314,64.69486118699916
173,126,183,211,86.96307710806457
122,164,185,56,94.47302143949011
192,206,169,291,64.95369810132804
107,190,115,133,79.48554585395866
167,197,199,387,55.76232946406022
215,134,115,308,66.13559557587605
120,120,159,155,75.14593592345577
133,146,127,328,70.57160847334434
152,151,148,206,82.72690657720624
134,182,159,285,72.24092862853968
103,99,159,248,72.04237869404865
152,195,162,115,85.64808328846996
118,145,198,135,85.6143061798341
164,137,163,302,70.75907066870687
122,119,142,166,78.27979644529488
196,100,178,159,75.03199113551548
126,174,185,104,85.95928147630993
140,152,113,242,81.09510075747595
174,111,167,406,49.20446462173049
113,111,171,93,78.51237367123781
156,139,141,202,79.32380420618259
189,200,191,341,59.6544385092801
101,142,145,192,78.56670832185203
155,104,153,245,74.01976598954249
157,142,144,93,88.53398872682598
173,141,150,242,81.6493171930104
112,69,117,181,66.29548010761742
110,148,106,298,61.757514876098774
165,143,197,318,64.23372619925478
158,170,124,458,43.284055944229166
157,205,120,257,68.82072797783965
160,183,85,232,79.70735082864007
129,141,130,219,75.70443244147981
156,116,110,164,80.75350452859341
158,227,199,233,63.6991761741371
128,151,180,170,77.26819295980262
205,150,129,216,72.72401809838033
164,149,217,331,61.211424516218834
114,155,179,99,93.00821897501883
169,145,140,313,69.78845530362562
120,132,75,331,55.19271021531484
173,133,218,188,77.03252389216001
184,149,108,0,98.64110874248394
125,133,100,139,87.20074519260633
178,128,180,329,71.00270343284186
162,153,223,197,70.82452904086065
174,142,191,100,82.2957124439483
206,195,166,149,72.96211070542692
142,70,167,284,65.17990070446508
127,182,175,254,72.93179187223167
123,187,172,176,83.03667258294553
125,87,158,163,78.52024488178738
147,139,153,160,81.55076238372577
160,138,148,107,88.85878996124372
158,107,127,361,56.02428549184989
174,126,141,167,90.89769360847386
150,116,99,321,55.61169486440971
193,202,147,352,60.82370289447862
142,178,120,299,76.91803109614818
231,188,116,156,76.78399922279999
168,171,155,240,72.84980482499253
124,116,191,197,73.46277288594787
117,134,177,109,84.39804159118796
164,164,102,232,79.86424237338264
143,113,120,82,77.04069044335247
171,171,178,318,72.36716850648163
164,142,120,153,74.98021423774927
147,138,143,220,75.56673835382793
124,171,166,228,71.9037778985067
104,163,120,174,81.09276634885359
136,139,153,258,64.80937824058125
175,184,109,152,82.11086333040971
156,117,131,287,78.52154811643425
112,168,159,65,83.43412997703594
155,167,102,212,76.24853083805198
161,140,163,393,55.69008911101695
123,159,149,99,90.37943603096518
154,112,166,132,83.99573888707876
151,177,156,251,69.99256545477847
115,144,190,217,76.68936142435537
160,134,153,235,84.07174054893372
166,181,137,248,71.2454810413635
182,128,153,263,74.44878971074093
181,107,166,310,58.03363521064418
108,103,151,240,66.71781811590998
