deviceId,timestamp,opticalR,opticalG,opticalB,conductivityMv,purityPercentage,hexCode
Milk,1782227068000,107,111,113,1333,10.00,#6B6F71
Milk,1782227068000,108,112,115,1335,10.00,#6C7073
Milk,1782227068000,107,112,115,1339,10.00,#6B7073
Milk,1782227067000,103,107,114,1326,10.00,#676B72
Milk,1782227067000,102,108,117,1326,10.00,#666C75
Milk,1782227067000,104,107,114,1336,10.00,#686B72
Milk,1782227067000,107,112,116,1331,10.00,#6B7074
Milk,1782227067000,107,110,114,1339,10.00,#6B6E72
Milk,1782227066000,104,110,112,1329,10.00,#686E70
Milk,1782227066000,102,108,115,1336,10.00,#666C73
Milk,1782227066000,107,113,116,1338,10.00,#6B7174
Milk,1782227066000,103,113,117,1328,10.00,#677175
Milk,1782227066000,104,110,117,1343,10.00,#686E75
Milk,1782227065000,102,110,116,1328,10.00,#666E74
Milk,1782227065000,108,113,112,1326,10.00,#6C7170
Milk,1782227065000,102,107,118,1337,10.00,#666B76
Milk,1782227065000,104,109,118,1342,10.00,#686D76
Milk,1782227065000,102,109,114,1339,10.00,#666D72
Milk,1782227064000,107,108,113,1334,10.00,#6B6C71
Milk,1782227064000,106,109,117,1337,10.00,#6A6D75
Milk,1782227064000,102,113,115,1342,10.00,#667173
Milk,1782227064000,107,113,114,1338,10.00,#6B7172
Milk,1782227064000,104,107,116,1330,10.00,#686B74
Milk,1782227063000,108,113,116,1337,10.00,#6C7174
Milk,1782227063000,102,108,114,1341,10.00,#666C72
Milk,1782227063000,103,109,114,1335,10.00,#676D72
Milk,1782227063000,106,108,118,1340,10.00,#6A6C76
Milk,1782227063000,107,110,116,1344,10.00,#6B6E74
Milk,1782227062000,107,113,117,1331,10.00,#6B7175
Milk,1782227062000,108,110,115,1328,10.00,#6C6E73
Milk,1782227062000,107,111,113,1326,10.00,#6B6F71
Milk,1782227062000,102,110,118,1333,10.00,#666E76
Milk,1782227062000,104,108,113,1325,10.00,#686C71
Milk,1782227061000,102,111,112,1339,10.00,#666F70
Milk,1782227061000,104,110,117,1328,10.00,#686E75
Milk,1782227061000,104,109,112,1345,10.00,#686D70
Milk,1782227061000,108,109,113,1328,10.00,#6C6D71
Milk,1782227061000,102,112,114,1331,10.00,#667072
Milk,1782227060000,104,108,114,1328,10.00,#686C72
Milk,1782227060000,102,110,117,1329,10.00,#666E75
Milk,1782227060000,103,113,115,1341,10.00,#677173
Milk,1782227060000,108,110,116,1337,10.00,#6C6E74
Milk,1782227060000,108,110,117,1338,10.00,#6C6E75
Milk,1782227059000,105,107,118,1326,10.00,#696B76
Milk,1782227059000,103,108,118,1336,10.00,#676C76
Milk,1782227059000,103,112,115,1332,10.00,#677073
Milk,1782227059000,102,109,115,1341,10.00,#666D73
Milk,1782227059000,107,113,118,1325,10.00,#6B7176
Milk,1782227058000,108,108,112,1342,10.00,#6C6C70
Milk,1782227058000,108,111,112,1344,10.00,#6C6F70
Milk,1782227058000,104,107,116,1333,10.00,#686B74
Milk,1782227058000,105,109,116,1337,10.00,#696D74
Milk,1782227058000,104,108,114,1341,10.00,#686C72
Milk,1782227057000,105,113,114,1342,10.00,#697172
Milk,1782227057000,108,107,114,1336,10.00,#6C6B72
Milk,1782227057000,107,110,117,1336,10.00,#6B6E75
Milk,1782227057000,108,110,114,1345,10.00,#6C6E72
Milk,1782227057000,104,108,115,1327,10.00,#686C73
Milk,1782227056000,102,107,112,1342,10.00,#666B70
Milk,1782227056000,105,111,113,1333,10.00,#696F71
Milk,1782227056000,106,110,116,1326,10.00,#6A6E74
